areas,precios
69.0,8.5
60.0,5.4
55.05,8.0
48.0,8.5
84.0,6.2
58.0,5.5
58.0,6.995
113.0,25.0
60.0,10.0
86.0,30.0
80.0,9.0
65.0,8.2
72.0,6.5
100.0,12.98
62.0,10.0
90.0,8.9
92.0,8.0
69.0,6.5
78.0,7.5
117.0,7.0
80.0,8.5
90.0,11.0
65.0,7.5
69.0,7.5
77.0,9.5
132.0,35.0
60.0,6.8
105.0,16.0
68.0,8.0
125.0,29.0
121.0,25.0
120.0,26.0
65.0,8.0
85.0,8.3
75.0,7.5
70.0,5.3
83.0,9.78
92.0,11.0
60.0,7.0
93.0,11.0
75.15,8.0
145.0,23.0
70.0,7.57
100.0,9.5
60.0,12.0
73.0,6.7
85.0,10.5
94.0,7.3
68.0,9.0
66.0,10.0
120.0,15.0
63.0,6.417
156.0,13.0
95.0,15.0
160.0,11.0
62.0,7.19
90.0,18.0
85.0,7.0
44.0,8.8
40.0,6.0
68.0,6.5
75.0,8.34
50.0,6.0
85.0,7.0
85.0,7.0
12.0,4.5
100.0,8.0
95.0,10.0
63.0,7.95
48.0,8.5
88.0,17.0
60.0,5.4
35.0,6.0
89.0,13.0
67.0,8.92
80.0,8.5
1.0,11.46
1.0,8.5
1.0,9.2
1.0,11.46
1.0,8.4
70.0,8.0
150.0,21.16
43.0,5.3
97.0,7.5
76.0,9.8
127.0,22.0
105.0,13.5
75.0,8.5
112.0,14.5
73.0,9.5
50.0,7.7
60.0,8.6
52.0,7.0
84.0,13.2
66.0,7.5
96.0,16.0
65.0,9.0
60.0,9.8
36.0,6.5
60.0,6.7
59.0,7.7
63.0,7.95
48.0,8.5
88.0,17.0
60.0,5.4
35.0,6.0
89.0,13.0
67.0,8.92
80.0,8.5
1.0,11.46
1.0,8.5
1.0,9.2
1.0,11.46
1.0,8.4
70.0,8.0
150.0,21.16
43.0,5.3
97.0,7.5
76.0,9.8
127.0,22.0
105.0,13.5
75.0,8.5
112.0,14.5
73.0,9.5
50.0,7.7
60.0,8.6
52.0,7.0
84.0,13.2
66.0,7.5
96.0,16.0
65.0,9.0
60.0,9.8
36.0,6.5
60.0,6.7
59.0,7.7
63.0,7.95
48.0,8.5
88.0,17.0
60.0,5.4
35.0,6.0
89.0,13.0
67.0,8.92
80.0,8.5
1.0,11.46
1.0,8.5
1.0,9.2
1.0,11.46
1.0,8.4
70.0,8.0
150.0,21.16
43.0,5.3
97.0,7.5
76.0,9.8
127.0,22.0
105.0,13.5
75.0,8.5
112.0,14.5
73.0,9.5
50.0,7.7
60.0,8.6
52.0,7.0
84.0,13.2
66.0,7.5
96.0,16.0
65.0,9.0
60.0,9.8
36.0,6.5
60.0,6.7
59.0,7.7
63.0,7.95
48.0,8.5
88.0,17.0
60.0,5.4
35.0,6.0
89.0,13.0
67.0,8.92
80.0,8.5
1.0,11.46
1.0,8.5
1.0,9.2
1.0,11.46
1.0,8.4
70.0,8.0
150.0,21.16
43.0,5.3
97.0,7.5
76.0,9.8
127.0,22.0
105.0,13.5
75.0,8.5
112.0,14.5
73.0,9.5
50.0,7.7
60.0,8.6
52.0,7.0
84.0,13.2
66.0,7.5
96.0,16.0
65.0,9.0
60.0,9.8
36.0,6.5
60.0,6.7
59.0,7.7
63.0,7.95
48.0,8.5
88.0,17.0
60.0,5.4
35.0,6.0
89.0,13.0
67.0,8.92
80.0,8.5
1.0,11.46
1.0,8.5
1.0,9.2
1.0,11.46
1.0,8.4
70.0,8.0
150.0,21.16
43.0,5.3
97.0,7.5
76.0,9.8
127.0,22.0
105.0,13.5
75.0,8.5
112.0,14.5
73.0,9.5
50.0,7.7
60.0,8.6
52.0,7.0
84.0,13.2
66.0,7.5
96.0,16.0
65.0,9.0
60.0,9.8
36.0,6.5
60.0,6.7
59.0,7.7
63.0,7.95
48.0,8.5
88.0,17.0
60.0,5.4
35.0,6.0
89.0,13.0
67.0,8.92
80.0,8.5
1.0,11.46
1.0,8.5
1.0,9.2
1.0,11.46
1.0,8.4
70.0,8.0
150.0,21.16
43.0,5.3
97.0,7.5
76.0,9.8
127.0,22.0
105.0,13.5
75.0,8.5
112.0,14.5
73.0,9.5
50.0,7.7
60.0,8.6
52.0,7.0
84.0,13.2
66.0,7.5
96.0,16.0
65.0,9.0
60.0,9.8
36.0,6.5
60.0,6.7
59.0,7.7
63.0,7.95
48.0,8.5
88.0,17.0
60.0,5.4
35.0,6.0
89.0,13.0
67.0,8.92
80.0,8.5
1.0,11.46
1.0,8.5
1.0,9.2
1.0,11.46
1.0,8.4
70.0,8.0
150.0,21.16
43.0,5.3
97.0,7.5
76.0,9.8
127.0,22.0
105.0,13.5
75.0,8.5
112.0,14.5
73.0,9.5
50.0,7.7
60.0,8.6
52.0,7.0
84.0,13.2
66.0,7.5
96.0,16.0
65.0,9.0
60.0,9.8
36.0,6.5
60.0,6.7
59.0,7.7
63.0,7.95
48.0,8.5
88.0,17.0
60.0,5.4
35.0,6.0
89.0,13.0
67.0,8.92
80.0,8.5
1.0,11.46
1.0,8.5
1.0,9.2
1.0,11.46
1.0,8.4
70.0,8.0
150.0,21.16
43.0,5.3
97.0,7.5
76.0,9.8
127.0,22.0
105.0,13.5
75.0,8.5
112.0,14.5
73.0,9.5
50.0,7.7
60.0,8.6
52.0,7.0
84.0,13.2
66.0,7.5
96.0,16.0
65.0,9.0
60.0,9.8
36.0,6.5
60.0,6.7
59.0,7.7
63.0,7.95
48.0,8.5
88.0,17.0
60.0,5.4
35.0,6.0
89.0,13.0
67.0,8.92
80.0,8.5
1.0,11.46
1.0,8.5
1.0,9.2
1.0,11.46
1.0,8.4
70.0,8.0
150.0,21.16
43.0,5.3
97.0,7.5
76.0,9.8
127.0,22.0
105.0,13.5
75.0,8.5
112.0,14.5
73.0,9.5
50.0,7.7
60.0,8.6
52.0,7.0
84.0,13.2
66.0,7.5
96.0,16.0
65.0,9.0
60.0,9.8
36.0,6.5
60.0,6.7
59.0,7.7
63.0,7.95
48.0,8.5
88.0,17.0
60.0,5.4
35.0,6.0
89.0,13.0
67.0,8.92
80.0,8.5
1.0,11.46
1.0,8.5
1.0,9.2
1.0,11.46
1.0,8.4
70.0,8.0
150.0,21.16
43.0,5.3
97.0,7.5
76.0,9.8
127.0,22.0
105.0,13.5
75.0,8.5
112.0,14.5
73.0,9.5
50.0,7.7
60.0,8.6
52.0,7.0
84.0,13.2
66.0,7.5
96.0,16.0
65.0,9.0
60.0,9.8
36.0,6.5
60.0,6.7
59.0,7.7
63.0,7.95
48.0,8.5
88.0,17.0
60.0,5.4
35.0,6.0
89.0,13.0
67.0,8.92
80.0,8.5
1.0,11.46
1.0,8.5
1.0,9.2
1.0,11.46
1.0,8.4
70.0,8.0
150.0,21.16
43.0,5.3
97.0,7.5
76.0,9.8
127.0,22.0
105.0,13.5
75.0,8.5
112.0,14.5
73.0,9.5
50.0,7.7
60.0,8.6
52.0,7.0
84.0,13.2
66.0,7.5
96.0,16.0
65.0,9.0
60.0,9.8
36.0,6.5
60.0,6.7
59.0,7.7
63.0,7.95
48.0,8.5
88.0,17.0
60.0,5.4
35.0,6.0
89.0,13.0
67.0,8.92
80.0,8.5
1.0,11.46
1.0,8.5
1.0,9.2
1.0,11.46
1.0,8.4
70.0,8.0
150.0,21.16
43.0,5.3
97.0,7.5
76.0,9.8
127.0,22.0
105.0,13.5
75.0,8.5
112.0,14.5
73.0,9.5
50.0,7.7
60.0,8.6
52.0,7.0
84.0,13.2
66.0,7.5
96.0,16.0
65.0,9.0
60.0,9.8
36.0,6.5
60.0,6.7
59.0,7.7
63.0,7.95
48.0,8.5
88.0,17.0
60.0,5.4
35.0,6.0
89.0,13.0
67.0,8.92
80.0,8.5
1.0,11.46
1.0,8.5
1.0,9.2
1.0,11.46
1.0,8.4
70.0,8.0
150.0,21.16
43.0,5.3
97.0,7.5
76.0,9.8
127.0,22.0
105.0,13.5
75.0,8.5
112.0,14.5
73.0,9.5
50.0,7.7
60.0,8.6
52.0,7.0
84.0,13.2
66.0,7.5
96.0,16.0
65.0,9.0
60.0,9.8
36.0,6.5
60.0,6.7
59.0,7.7
63.0,7.95
48.0,8.5
88.0,17.0
60.0,5.4
35.0,6.0
89.0,13.0
67.0,8.92
80.0,8.5
1.0,11.46
1.0,8.5
1.0,9.2
1.0,11.46
1.0,8.4
70.0,8.0
150.0,21.16
43.0,5.3
97.0,7.5
76.0,9.8
127.0,22.0
105.0,13.5
75.0,8.5
112.0,14.5
73.0,9.5
50.0,7.7
60.0,8.6
52.0,7.0
84.0,13.2
66.0,7.5
96.0,16.0
65.0,9.0
60.0,9.8
36.0,6.5
60.0,6.7
59.0,7.7
63.0,7.95
48.0,8.5
88.0,17.0
60.0,5.4
35.0,6.0
89.0,13.0
67.0,8.92
80.0,8.5
1.0,11.46
1.0,8.5
1.0,9.2
1.0,11.46
1.0,8.4
70.0,8.0
150.0,21.16
43.0,5.3
97.0,7.5
76.0,9.8
127.0,22.0
105.0,13.5
75.0,8.5
112.0,14.5
73.0,9.5
50.0,7.7
60.0,8.6
52.0,7.0
84.0,13.2
66.0,7.5
96.0,16.0
65.0,9.0
60.0,9.8
36.0,6.5
60.0,6.7
59.0,7.7
63.0,7.95
48.0,8.5
88.0,17.0
60.0,5.4
35.0,6.0
89.0,13.0
67.0,8.92
80.0,8.5
1.0,11.46
1.0,8.5
1.0,9.2
1.0,11.46
1.0,8.4
70.0,8.0
150.0,21.16
43.0,5.3
97.0,7.5
76.0,9.8
127.0,22.0
105.0,13.5
75.0,8.5
112.0,14.5
73.0,9.5
50.0,7.7
60.0,8.6
52.0,7.0
84.0,13.2
66.0,7.5
96.0,16.0
65.0,9.0
60.0,9.8
36.0,6.5
60.0,6.7
59.0,7.7
63.0,7.95
48.0,8.5
88.0,17.0
60.0,5.4
35.0,6.0
89.0,13.0
67.0,8.92
80.0,8.5
1.0,11.46
1.0,8.5
1.0,9.2
1.0,11.46
1.0,8.4
70.0,8.0
150.0,21.16
43.0,5.3
97.0,7.5
76.0,9.8
127.0,22.0
105.0,13.5
75.0,8.5
112.0,14.5
73.0,9.5
50.0,7.7
60.0,8.6
52.0,7.0
84.0,13.2
66.0,7.5
96.0,16.0
65.0,9.0
60.0,9.8
36.0,6.5
60.0,6.7
59.0,7.7
63.0,7.95
48.0,8.5
88.0,17.0
60.0,5.4
35.0,6.0
89.0,13.0
67.0,8.92
80.0,8.5
1.0,11.46
1.0,8.5
1.0,9.2
1.0,11.46
1.0,8.4
70.0,8.0
150.0,21.16
43.0,5.3
97.0,7.5
76.0,9.8
127.0,22.0
105.0,13.5
75.0,8.5
112.0,14.5
73.0,9.5
50.0,7.7
60.0,8.6
52.0,7.0
84.0,13.2
66.0,7.5
96.0,16.0
65.0,9.0
60.0,9.8
36.0,6.5
60.0,6.7
59.0,7.7
63.0,7.95
48.0,8.5
88.0,17.0
60.0,5.4
35.0,6.0
89.0,13.0
67.0,8.92
80.0,8.5
1.0,11.46
1.0,8.5
1.0,9.2
1.0,11.46
1.0,8.4
70.0,8.0
150.0,21.16
43.0,5.3
97.0,7.5
76.0,9.8
127.0,22.0
105.0,13.5
75.0,8.5
112.0,14.5
73.0,9.5
50.0,7.7
60.0,8.6
52.0,7.0
84.0,13.2
66.0,7.5
96.0,16.0
65.0,9.0
60.0,9.8
36.0,6.5
60.0,6.7
59.0,7.7
63.0,7.95
48.0,8.5
88.0,17.0
60.0,5.4
35.0,6.0
89.0,13.0
67.0,8.92
80.0,8.5
1.0,11.46
1.0,8.5
1.0,9.2
1.0,11.46
1.0,8.4
70.0,8.0
150.0,21.16
43.0,5.3
97.0,7.5
76.0,9.8
127.0,22.0
